"Source:","C:\Users\twalter\Local\Inverter\KiCAD_files\inverter.kicad_sch"
"Date:","20/06/2023 16:14:47"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","354"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","DNP","Package","Power","Sim.Device","Sim.Pins","Voltage","manf","manf#"
"1","1","C201","100nF",":C_Small_6","Footprints:C_0805_2012Metric","~","","","1206","","","","","","C1206C104K5RAC7867"
"2","35","C202, C203, C401, C410, C413, C420, C490, C491, C601, C602, C605, C606, C607, C611, C612, C614, C619, C701, C702, C705, C706, C707, C711, C712, C714, C719, C801, C802, C805, C806, C807, C811, C812, C814, C819","100nF","Device:C_Small","Footprints:C_0805_2012Metric","~","","x","0603","","","","50V","","C0603C104K5RAC7867"
"3","4","C204, C617, C717, C817","1nF","Device:C_Small","Footprints:C_0805_2012Metric","~","","x","0805","","","","100V","","CL21C102JCFNNNE"
"4","19","C207, C217, C301, C411, C412, C529, C531, C603, C604, C610, C618, C703, C704, C710, C718, C803, C804, C810, C818","20pF","Device:C_Small","Footprints:C_0805_2012Metric","https://www.mouser.fr/datasheet/2/447/UPY_NP0X5R_01005_4V_to_25V_V10-3003057.pdf","","DNP","0805","","","","50V","","CC0805JRNPO9BN200"
"5","7","C209, C530, C613, C713, C813, C901, C902","100nF",":C_Small_5","Footprints:C_0805_2012Metric","~","","x","0805","","","","","","C0805C104K5RACTU"
"6","1","C218","100nF",":C_Small_1","Footprints:C_0805_2012Metric","~","","","0805","","","","","","CC0805KRX7R9BB104"
"7","1","C470","15nF","Device:C_Small","Footprints:C_0805_2012Metric","~","","x","","","","","","","C0805C153K5RACTU"
"8","2","C501, C502","470nF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","GRM21BR72A474KA73L"
"9","4","C503, C504, C505, C506","4.7uF","Device:C","Footprints:C_1210_3225Metric","100V","","","","","","","","","12101C475K4T2A"
"10","1","C507","10nF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","CL21B103KBANNND"
"11","1","C508","22nF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","CL21B223KBANNWC"
"12","5","C509, C518, C608, C708, C808","1nF","Device:C","Footprints:C_0805_2012Metric","~","","x","0805","","","","500V ","","CL21C102JCFNNNE"
"13","1","C510","C0G, 100pF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","CL21C101JBANNNC"
"14","1","C511","X7T, 100nF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","C2012X7T2E104M125AA"
"15","2","C512, C513","1uF","Device:C","Footprints:C_0805_2012Metric","~","","","0805","","","","","","UMK212B7105KGHT"
"16","2","C514, C520","6.8nF","Device:C","Footprints:C_0805_2012Metric","~","","","","","","","","","0805B682K631CT"
"17","1","C515","100pF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","","1206","","","","1kV","","885342008009"
"18","2","C516, C517","2.2nF","Device:C","Capacitor_SMD:C_1812_4532Metric","~","","","1812","","","","250V","","8853622110151 "
"19","1","C519","10uF","Device:C","Footprints:C_1210_3225Metric","~","","","","","","","50V","","12105C106KAT2A"
"20","1","C521","100uF","Device:C_Polarized_Small","Capacitor_SMD:CP_Elec_6.3x7.7","~","","","","","","","","","EEE-FKE101XAV"
"21","8","C522, C523, C524, C525, C526, C616, C716, C816","10uF","Device:C_Small","Footprints:C_1210_3225Metric","~","","x","1210","","","","50V","","12105C106KAT2A"
"22","5","C527, C528, C615, C715, C815","1uF","Device:C_Small","Footprints:C_0805_2012Metric","~","","x","0805","","","","50V","","UMK212B7105KGHT "
"23","3","C609, C709, C809","100nF","Device:C","Footprints:C_1210_3225Metric","~","","x","1210","","","","200V","","C1210C104M2RACTU"
"24","6","C620, C621, C720, C721, C820, C821","33uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_10x10.5","~","","","10x10.5","","","","160V","","ULT2C330MNL1GS"
"25","18","C622, C623, C624, C625, C626, C627, C722, C723, C724, C725, C726, C727, C822, C823, C824, C825, C826, C827","4.7uF",":C_9","Footprints:C_1210_3225Metric","~","","","1210","","","","100V","","12101C475K4T2A"
